DATE,REAINTRATREARAT10Y_CHG
2011-06-01,-0.21920785
2011-07-01,0.08168536
2011-08-01,-0.17897744
2011-09-01,-0.18003603
2011-10-01,-0.11637639
2011-11-01,0.03850704
2011-12-01,0.00739878
2012-01-01,0.00163220
2012-02-01,-0.12424948
2012-03-01,0.14738588
2012-04-01,0.02540882
2012-05-01,-0.28186771
2012-06-01,0.03907093
2012-07-01,-0.00667498
2012-08-01,-0.00525875
2012-09-01,-0.10917236
2012-10-01,0.07608490
2012-11-01,0.08743519
2012-12-01,-0.16664040
2013-01-01,0.25677887
2013-02-01,0.08769876
2013-03-01,-0.12175946
2013-04-01,-0.07455260
2013-05-01,0.00482065
2013-06-01,0.24708498
2013-07-01,0.31868729
2013-08-01,-0.07131235
2013-09-01,0.06576582
2013-10-01,-0.04786509
2013-11-01,-0.00333168
2013-12-01,-0.07133781
2014-01-01,0.26233678
2014-02-01,-0.17195940
2014-03-01,0.07177587
2014-04-01,0.12176892
2014-05-01,-0.07536795
2014-06-01,-0.00232471
2014-07-01,-0.03353449
2014-08-01,0.05841075
2014-09-01,-0.06854577
2014-10-01,0.12010477
2014-11-01,0.01233556
2014-12-01,-0.32857489
2015-01-01,0.32521743
2015-02-01,-0.17156242
2015-03-01,0.21332504
2015-04-01,-0.34138290
2015-05-01,0.12359892
2015-06-01,0.01985636
2015-07-01,0.1132971
2015-08-01,-0.11876934
2015-09-01,-0.03584565
2015-10-01,0.01631180
2015-11-01,0.13743399
2015-12-01,-0.01878347
2016-01-01,0.08708374
2016-02-01,-0.19576797
2016-03-01,0.01266942
2016-04-01,-0.20613474
2016-05-01,0.06837715
2016-06-01,0.10544869
2016-07-01,-0.35375158
2016-08-01,0.06149052
2016-09-01,-0.01076316
2016-10-01,0.07372251
2016-11-01,0.05681252
2016-12-01,0.35384725
2017-01-01,0.02519449
2017-02-01,0.04873051
2017-03-01,0.14212144
2017-04-01,-0.15074924
2017-05-01,0.01065502
2017-06-01,-0.04029745
2017-07-01,-0.01109523
2017-08-01,-0.05415596
2017-09-01,-0.10564752
2017-10-01,0.16393087
2017-11-01,0.02304694
2017-12-01,-0.17914122
2018-01-01,0.30073878
2018-02-01,0.21468128
2018-03-01,-0.05893346
2018-04-01,-0.01518150
2018-05-01,0.20173747
2018-06-01,0.02963634
2018-07-01,-0.09049443
2018-08-01,0.10000791
2018-09-01,-0.12309472
2018-10-01,0.16797991
2018-11-01,0.00853154
2018-12-01,-0.05369169
2019-01-01,-0.21453232
2019-02-01,0.02774851
2019-03-01,-0.55097520
2019-04-01,-0.09690390
2019-05-01,0.12012505
2019-06-01,-0.11912718
2019-07-01,0.01927026
2019-08-01,-0.02052009
2019-09-01,-0.18504627
2019-10-01,0.13331901
2019-11-01,0.06528732
2019-12-01,0.08065308
2020-01-01,-0.00916862
2020-02-01,-0.18911052
2020-03-01,-0.44382324
2020-04-01,0.01624303
2020-05-01,0.08373790
2020-06-01,-0.12584284
2020-07-01,-0.19164514
2020-08-01,-0.0617895
2020-09-01,0.06379707
2020-10-01,0.05159848
2020-11-01,0.07778281
2020-12-01,-0.01836582
2021-01-01,-0.00269575
2021-02-01,0.00419341
2021-03-01,0.24333067
2021-04-01,0.10554007
2021-05-01,-0.08109936
2021-06-01,-0.04261243
2021-07-01,0.04070593
2021-08-01,-0.29605987
2021-09-01,0.06628792
2021-10-01,0.28263201
2021-11-01,0.07609674
2021-12-01,-0.07230871
2022-01-01,0.22780593
2022-02-01,0.12209779
2022-03-01,-0.09450297
2022-04-01,0.60231035
2022-05-01,0.25449749
2022-06-01,-0.17880425
2022-07-01,0.03708142
2022-08-01,-0.20654963
2022-09-01,0.34862338
2022-10-01,0.60128777
